Id,Sentence,Title,Author
4906,There's been an accident! she thought.,The Time Of The Ghost,Diana Wynne Jones
4907,"I have been with the court all my life, traveling with the King's Progress.",The Merlin Conspiracy,Diana Wynne Jones
4908,We have had Aunt Maria ever since Dad died.,Aunt Maria,Diana Wynne Jones
4909,I shouldn't have come to this party.,The Hate U Give,Angie Thomas
4910,"When Dr. Rachel Bell turned, she saw the man who had pushed her.",The 100 Year Miracle,Ashley Ream
4911,Have you ever heard of the Flying Dutchman?.,The Homeward Bounders,Diana Wynne Jones
4912,"When Jocelyn Brandon died- at a great age, as magicians tend to do- he left his house and his field-of-care to his grandson, Andrew Brandon Hope.",Enchanted Glass,Diana Wynne Jones
4913,"First, a stone landed a metre from Viktor's foot.",Death And The Penguin,Andrey Kurkov
4914,"My sweater was new, stinging red and ugly.",Sharp Objects,Gillian Flynn
4915,Dr Strauss says I should rite down what I think and remembir and evrey thing that happins to me from now on.,Flowers For Algernon,Daniel Keyes
4916,"Do come out of that dream, Moril, Lenina said.",Cart And Cwidder,Diana Wynne Jones
4917,Everyone my age remembers where they were and what they were doing when they first heard about the contest.,Ready Player One,Earnest Cline
4918,"People my wonder how Mitt came to join in the Holand Sea Festival, carrying a bomb, and what he thought he was doing.",Drowned Ammet,Diana Wynne Jones
4919,I want to tell of our journey down the river.,The Spellcoats,Diana Wynne Jones
4920,The Earl of Hannarth arrived in Aberath two days before Midsummer.,The Crown Of Dalemark,Diana Wynne Jones
4922,"Far below, the landscape, looking like a sea of ashes, steadily passed beneath the wings of the obsidian lion.",The Stone Light,Kai Meyer
4923,The candleflame and the image of the candleflame caught in the pierglass twisted and righted when he entered the hall and again when he shut the door.,All The Pretty Horses,Cormac Mccarthy
4924,"The ninth day of the eighth lunar month, 1939.",Red Sorghum,Mo Yan
4925,Diplomats said to be linked with fugitive terrorist known as Carlos.,The Bourne Identity,Robert Ludlum
4926,The house was white and square and too small and too perfect.,Hotel For Dogs,Lois Duncan
4927,The first one on the production team to die will be the editor.,The Last One,Alexandra Oliva
4928,The villagers fear him.,Wizard Of The Winds,Alan Cole
4929,Where's Papa going with that ax? said Fern to her mother as they were setting the table for breakfast.,Charlotte's Web,E. B. White
4930,A dragon was trying to hide in the storm.,Wings Of Fire,Tui Sutherland
4931,"It was late winter in Northern Rus', the air sullen with wet that was neither rain nor snow.",The Bear And The Nightingale,Katherine Arden
4932,Lord Russano of Salamandastron put aside his quill and capped a tiny gourd of ink with a wooden stopper.,Lord Brocktree,Brian Jacques
4933,The Penderwick family was being torn apart.,The Penderwicks At Point Mouette,Jeanne Birdsall
4934,"During that third week of May the situation in Baskul had become much worse and, on the 20th, Air Force machines arrived by arrangement from Peshawar to evacuate the white residents.",Lost Horizon,James Hilton
4935,Their mother had been here in the hospital with the new baby for almost a week.,The Penderwicks On Gardam Street,Jeanne Birdsall
4936,"The island of Gont, a single mountain that lifts its peak above the storm-racked Northeast Sea, is a land famous for wizards.",The Wizard Of Earthsea,Ursula Le Guin
4937,"For a long time after that summer, the four Penderwick sisters still talked of Arundel.",The Penderwicks,Jeanne Birdsall
4938,"Come home, Tenar, come home!.",The Tombs Of Atuan,Ursula Le Guin
4940,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are.",The Nightingale,Kristin Hannah
4941,Hi!.,A Tale For The Time Being,Ruth Ozeki
4942,On Career Day Lily visited her dad's work with him and discovered he worked for a mad scientist who wanted to rule the earth through destruction and desolation.,Whales On Stilts!,M.T. Anderson
4943,"Mr Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes.",Animal Farm,George Orwell
4944,I figure that Mom and Dad were having some kind of trouble and needed to go away by themselves.,Lizard Music,Daniel Pinkwater
4945,"I'm pretty sure my parents really wanted a dog, but they got me instead.",The Werewolf Club #1: The Magic Pretzel,Daniel Pinkwater
4946,"The woman was tall, blonde, green-eyed and beautiful.",Star Risk Ltd,Chris Bunch
4947,"Our Dragon doesn't eat the girls he takes, no matter what stories they tell outside the valley.",Uprooted,Naomi Novik
4948,"With a clamor of bells that set the swallows soaring, the Festival of Summer came to the city Omelas, bright-towered by the sea.",The Ones Who Walk Away From Omelas,Ursula K. Le Guin
4949,"It was well said of a certain German book that ""er lasst sich nicht lesen"" --- it does not permit itself to be read.",The Man Of The Crowd,Edgar Allan Poe
4950,"It was a September morning, hazy with late summer, and now with all the years in between.",A Year Down Yonder,Richard Peck
4951,It was a chilly November afternoon.,The Angel Of The Odd: An Extravaganza,Edgar Allan Poe
4952,Ill-fated and mysterious man!.,The Assignation,Edgar Allan Poe
4953,"On Dreamer's Plain, the gathering of delegations from the Twelve Crowns of Raine for the coronation of the Queen of Raine looked like an invading army.",Alphabet Of Thorn,Patricia Mckillip
4954,"In the Palace of Black Swans, Zakdin, capital of Hakdar: Blue eyes wide, Lady Sandrilene fa Toren watched her near-empty oil lamp.",Sandry's Book,Tamora Pierce
4955,Misery is manifold.,Berenice,Edgar Allan Poe
4956,It was about a week after I'd almost saved mankind.,Necrophenia,Robert Rankin
4957,"For the most wild, yet homely narrative which I am about to pen, I neither expect nor solicit belief.",The Black Cat,Edgar Allan Poe
4958,"That is my decision. We need not discuss it, said the man at the desk.",Alanna: The First Adventure,Tamora Pierce
4959,It was just another fucked-up night in the Cauldron.,Dirty Magic,Jaye Wells
4960,I am a business man.,The Business Man,Edgar Allan Poe
4961,"Each year, at the end of March, a great fair was held in Cria, the capital of Galla.",Wild Magic,Tamora Pierce
4962,"Anna Stangeland woke up abruptly, clutching the pendant so hard that the worn edges nearly cut into her fingers.",Black Ice,Susan Krinard
4963,"The thousand injuries of Fortunato I had borne as I best could; but when he ventured upon insult, I vowed revenge.",The Cask Of Amontillado,Edgar Allan Poe
4964,We had now reached the summit of the loftiest crag.,A Descent Into The Maelstrom,Edgar Allan Poe
4965,"Everybody knows, in a general way, that the finest place in the world is -- or, alas, was -- the Dutch borough of Vondervotteimittiss.",The Devil In The Belfry,Edgar Allan Poe
4966,Since the world began there have been two Jeremys.,Diddling,Edgar Allan Poe
4967,From his cradle to his grave a gale of prosperity bore my friend Ellison along.,"The Domain Of Arnheim, Or The Landscape Garden",Edgar Allan Poe
4968,"In this village, when the ripened ears of wheat sway in the breeze, it is said that a wolf runs through them.","Spice And Wolf, Volume 1",Isuna Hasikura
4969,"Of course I shall not pretend to consider it any matter for wonder, that the extraordinary case of M. Valdemar has excited discussion.",The Facts In The Case Of M. Valdemar,Edgar Allan Poe
4971,It was close on midnight when a man crossed the Place de la Concorde.,The Mystery Of The Blue Train,Agatha Christie
4972,"The thing was big and white and Harry, and it was eating all the ice cream in the walk-in freezer.",Monster,A. Lee Martinez
4973,It was five o'clock on a winter's morning in Syria.,Murder In The Calais Coach,Agatha Christie
4974,"Later, as he sat on his balcony eating the dog, Dr. Robert Laing reflected on the unusual events that had taken place within this huge apartment building during the previous three months.",High-Rise,J.G. Ballard
4975,"Excuse me, another round of Bloodys, please?.",Straight To Hell,John Lefevre
4976,To Sherlock Holmes she is always the woman.,The Adventures Of Sherlock Holmes,Arthur Conan Doyle
4977,"Many years ago, I contracted an intimacy with a Mr. William Legrand.",The Gold-Bug,Edgar Allan Poe
4978,I never knew anyone so keenly alive to a joke as the king was.,Hop-Frog,Edgar Allan Poe
4979,I presume everybody has heard of me.,How To Write A Blackwood Article,Edgar Allan Poe
4980,"Nancy, said the voice on the telephone, ""you are wanted in New York City!"".",Nancy Drew - The Message In The Hollow Oak,Carolyn Keene
4982,"A penny for your thoughts, Nancy Drew, said George Fayne.",Nancy Drew - The Clue In The Diary,Carolyn Keene
4983,All the best things in my life have started with a Dolly Parton song.,Dumplin',Julie Murphy
4984,The temperature hit ninety degrees the day she arrived.,Valley Of The Dolls,Jacqueline Susann
4985,The sun is always just about to rise.,2312,Kim Stanley Robinson
4986,"Down in the town by the butcher's shop door, sat Hairy Maclary from Donaldson's Dairy.",Hairy Maclary's Bone,Lynley Dodd
4987,"Hairy Maclary felt bumptious and bustly, bossy and bouncy and frisky and hustly.",Hairy Maclary Scattercat,Lynley Dodd
4988,"With a twitch of his tail and a purposeful paw, down by the river crept Scarface Claw.",Hairy Maclary's Caterwaul Caper,Lynley Dodd
4989,"Down at the Vet's there were all kinds of pets, with troubles and woes from their ears to their toes.",Hairy Maclary's Rumpus At The Vet,Lynley Dodd
4990,"In Riverside Hall on Cabbage Tree Row, the Cat Club were having their Annual Show.",Hairy Maclary's Showbusiness,Lynley Dodd
4991,On the first day of Christmas my true love gave to me a partridge in a pear tree.,The 12 Days Of Christmas,Robert Sabuda (Artist Of Pop-Up Book)
4992,Jeremy Thatcher crumpled his paper in disgust.,"Jeremy Thatcher, Dragon Hatcher",Bruce Coville
4993,Blood is life!.,Jojo's Bizarre Adventure,Hirohiko Araki
4994,Two tired men looked at Antonia Gallo with resentment and hostility in their eyes.,Whiteout,Ken Follett
4995,The episode of the Black Cloud has always had a great fascination for me.,The Black Cloud,Fred Hoyle
4996,"Of late years an abundant shower of curates has fallen upon the north of England: they lie very thick on the hills; every parish has one or more of them; they are young enough to be very active, and ought to be doing a great deal of good.",Shirley,Bronte
4998,Ciao.,Comico,Ragazzi
4999,It's a weirdly subtle conversation.,Simon Vs. The Homo Sapiens Agenda,Becky Albertalli
5000,"From a distance, the man struggling up the white face of the glacier might have looked like an ant crawling slowly up the side of a dinner plate.",Magisterium - The Iron Trial,"Holly Black, Cassandra Clare"
5001,Call removed a small circle of oily pepperoni from his slice of pizza and slid his hand under the table.,Magisterium - The Copper Gauntlet,"Holly Black, Cassandra Clare"
5002,"Call made a few final tweaks to his robot right before sending him into the ""ring"" - a section of garage floor outlined in blue chalk.",Magisterium - The Bronze Key,"Holly Black, Cassandra Clare"
5003,Prison was not like Call expected it to be.,Magisterium - The Silver Mask,"Holly Black, Cassandra Clare"
5004,"You've got to be kidding me, the bouncer said, folding his arms across his massive chest.",City Of Bones,Cassandra Clare
5005,Simon stood and stared numbly at the front door of his house.,City Of Lost Souls,Cassandra Clare
5006,"On the day Emma Carstairs's parents were killed, the weather was perfect.",City Of Heavenly Fire,Cassandra Clare
5007,Shadow Market nights were Kit's favorite.,Lady Midnight,Cassandra Clare
5008,Alek raised his sword.,Behemoth,Scott Westerfeld
5009,"Siberia, Alek said.",Goliath,Scott Westerfeld
5010,"Moggle, Aya whispered.",Extras,Scott Westerfeld
5011,Albert Gates came down from Oxford feeling that his life was behind him.,Highland Fling,Nancy Mitford
5012,"Four o' clock on the first of November, a dark and foggy day.",Christmas Pudding,Nancy Mitford
5013,"No, I'm sorry, said Noel Foster, ""not sufficiently attractive.",Wigs On The Green,Nancy Mitford
5014,Fire roared through the bifurcated city of Ankh-Morpork.,The Colour Of Magic,Terry Pratchett
5015,"The sun rose slowly, ass if it wasn't sure it was worth all the effort.",The Light Fantastic,Terry Pratchett
5016,Sophia Garfield had a clear mental picture of what the outbreak of war was going to be like.,Pigeon Pie,Nancy Mitford
5017,There is a photograph in existence of Aunt Sadie and her six children sitting round the tea-table at Alconleigh.,The Pursuit Of Love,Nancy Mitford
5018,"I am obliged to begin this story with a brief account of the Hampton family, because it is necessary to emphasize the fact once and for all that the Hamptons were very grand as well as very rich.",Love In A Cold Climate,Nancy Mitford
5019,"The foreign gentleman seems to be in a terrible hurry, dear.",The Blessing,Nancy Mitford
5020,"On the day which was to be such a turning-point in my life, I went to London by the 9. 7.",Don'T Tell Alfred,Nancy Mitford
5021,"At the height of the long wet summer of the Seventy-Seventh Year of Sendovani, the Thiefmaker of Camorr paid a sudden and unannounced visit to the Eyeless Priest at the temple of Perelandro, desperately trying to sell him the Lamora boy.",The Lies Of Locke Lamora,Scott Lynch
5022,Lightning has struck me all my life.,Remarkable Creatures,Tracy Chevalier
5023,"On the second day of January, windswept and bright, a half-blood Seminole named Sammy Tigertail dumped a dead body in the Lostmans River.",Nature Girl,Carl Hiaasen
5024,"No seaside town is, I think, as attractive as St. Loo.",Peril At End House,Agatha Christie
5025,Hercule Poirot frowned.,Hickory Dickory Dock,Agatha Christie
5027,The light was flashing again.,Asrian Skies,Anne Wheeler
5028,"With the upraised, flailing arms and the dim blue spotlights sweeping across it, the dance floor in the Cut looked as if several dozen people were drowning in it.",Some Distant Sunrise,Elliott Downing
5029,Claire Lacombe was fifteen when she determined she must find a way out.,"City Of Darkness, City Of Light",Marge Piercy
5030,Outside my window an old woman is selling flowers.,Jacobin's Daughter,Joanne S. Williamson
5031,The village of Alloway straggled back from the banks of the river Doon to where the ground was firmer and drier; and here William Burns decided to make his home.,The Wind That Shakes The Barley,James Barke
5033,"This is the bright candlelit room where the lifetimers are stored - shelf upon shelf of them, squat hourglasses, one for every living person, pouring their fine sand from the future into the past.",Mort,Terry Pratchett
5034,"Vili glanced up, turned his head back toward the interior, and said, with no particular inflection, “Klava with honey for Lord Taltos. ”.",Dzur,Steven Brust
5035,"Every morning, before the sun rose to gild the white marble columns of the monastery with flecks of gold, the High Priestess went to the Chamber of the Watchful Eye to perform the Rite of Seeing.",Mistress Of Dragons,Margaret Weis
5036,Some things just aren’t meant to go together.,Death Masks,Jim Butcher
5037,"There is a place in the mountain called Saestara where, according to the locals, you can look east and see the past, and look west and see the future.",Jhegaala,Steven Brust
5038,"I awoke instantly from a sound sleep to active stillness, and before reaching for a weapon, or dodging from a possible attack, or even opening my eyes, I reached out, mentally, psychically, for contact with my familiar.",Issola,Steven Brust
5039,"Lyra and her daemon moved through the darkening hall, taking care to keep to one side, out of sight of the kitchen.",The Golden Compass,Philip Pullman
5040,"From ten kilometers out, the Sky Survey Observatory looked like an over-sized beer can.",Saturn Run,John Sandford And Ctein
5041,"It was only a duckpond, out at the back of the farm.",The Ocean At The End Of The Lane,Neil Gaiman
5042,"It was, of course, a beautiful day - a Company brochure day.",Strata,Terry Pratchett
5043,"It's about time to get this party started, Mr. Ace of Hearts.",The Immortal Ambrosia,Amanda K. Johnson
5044,"The Orchestrion swooped low, singing its steam and metal tune over the precariously stacked roofs and chimneys and balconies of Argent Town.",The Brothers Cattaneo,Amanda K. Johnson
5045,"Tell us what the problems are, Esther. Talk to us.","Stage Combat (Invisible, Inc. Fanfiction)",Linenpixel
5046,"Nothing but stars, scattered across the blackness as though the Creator had smashed the windscreen of his car and hadn't bothered to stop to sweep the pieces.",Pyramids,Terry Pratchett
5047,"In one way, at least, our lives are really like movies.",Revival,Stephen King
5048,"He was laughing, chin up, and shaking his head.",The Spire,William Golding
5049,"It was freezing in the churchyard, even before the dead arrived.",The Raven Boys,Margaret Stiefvater
5050,"The sun rose slowly, and if it wasn't sure it was worth all the effort.",The Light Fantastic,Terry Pratchett
5051,"In five years, the penis will be obsolete.",Steel Beach,John Varley
5052,"There were many theories about the strange illness of the second Ruler of the Free Republic of Aburiria, but the most frequent on people's lips were five.",Wizard Of The Crow,Ngugi Wa Thiong'O
5053,My brother calls and says to get to the bar as fast as I can--he thinks he just died.,Miracle,Chad Simpson
5054,The boy's sister is missing or has not yet come home.,You Would'Ve Counted Yourself Lucky,Chad Simpson
5055,"Haiden's morning sickness was bad, and she told me to get the boy out of the house, take him anywhere.",Fostering,Chad Simpson
5056,"When Mr. Bilbo Baggins of Bag End announced that he would shortly be celebrating his eleventy-first birthday with a party of special significance, there was much talk and excitement in Hobbiton.",The Fellowship Of The Ring,J.R.R. Tolkien
5057,Pippin looked out from the shelter of Gandalf’s cloak.,The Return Of The King,J.R.R. Tolkien
5058,“Ship duty!” chortled the ensign four ahead of Miles in line.,The Vor Game,Lois Mcmaster Bujold
5059,"Not long before I embarked on my journey to Eriga, I girded my loins and set out for a destination I considered much more dangerous: Falchester.",The Tropic Of Serpents,Marie Brennan
5060,"Thick cloud had pressed down on Berlin all night, and now it was lingering into what passed for the morning.",Fatherland,Robert Harris
5061,"Matthias cut a comical little figure as he wobbled his way along the cloisters, with his large sandals flip-flopping and his tail peeping from beneath the baggy folds of an oversized novice’s habit.",Redwall,Brian Jacques
5062,Shallan pinched the thin charcoal pencil and drew a series of straight lines radiating from a sphere on the horizon.,Words Of Radiance,Brandon Sanderson
5063,"Someone was standing by his bed, a person completely unlike anyone Tendai had ever met.","The Ear, The Eye And The Arm",Nancy Farmer
5064,"The road the Romans made traversed North Wales a little way inland, between the weather off the Irish Sea and the mountains of Gwynedd and Powys; past the copper and the lead that the travel-hungry Empire craved.",The Dragon Waiting,John M. Ford
5065,"They set a slamhound on Turner's trail in New Delhi, slotted it to his pheromones and the colour of his hair.",Count Zero,William Gibson
5066,"They didn't think that Flynne's brother had PTSD, but that sometimes the haptics glitched him.",The Peripheral,William Gibson
5067,The rules of the New Haven Youth League required that each kid played at least ten minutes in each game.,The Associate,Jim Grisham
5068,"‘Rausch,’ said the voice in Hollis Henry's cell.",Spook Country,William Gibson
5069,‘Nabe?’ said the port inspector.,Take Back Plenty,Colin Greenland
5070,"When the guards on Asteroid 000013 started whimpering and licking each other, Dog Schwartz, to do him justice, was the first person to notice.",Seasons Of Plenty,Colin Greenland
5071,"I was driving east on the Eisenhower Expressway when the Teatime Anarchist dropped the Ashland Avenue overpass on top of me, using enough C4 to bring the whole southbound span down at once.",Wearing The Cape,Marion G. Harmon
5072,She was the kind of girl who slept with books on her bed.,Saving Mars,Cidney Swanson
5073,"It's perfectly safe, Tony said with his most engaging would-I-lie? grin.",A Glancing Light,Aaron Elkins
5074,The first thought Anderton had when he saw the young man was: I'm getting bald. Bald and fat and old.,Minority Report,Philip K. Dick
5075,"One of these days I'm going to take time off, Spence Olham said at first meal.",Imposter,Philip K. Dick
5076,He awoke--and wanted Mars.,We Can Remember It For You Wholesale,Philip K. Dick
5077,"In his office at the Terran Import Bureau of Standards, the tall man gathered up the morning's memos from their wire basket, and, seating himself at his desk, arranged them for reading.",War Game,Philip K. Dick
5078,"The body of Louis Sarapis, in a transparent plastic shatterproof case, had lain on display for one week, exciting a continual response from the public.",What The Dead Men Say,Philip K. Dick
5079,"The accused man, Kabuo Miyamoto, sat proudly upright with a rigid grace, his palms placed softly on the defendant's table - the posture of a man who has detached himself insofar as this is possible at his own trial.",Snow Falling On Cedars,David Guterson
5080,"At four-fifteen in the afternoon, TST, Garson Poole woke up in his hospital bed, knew that he lay in a hospital bed in a three-bed ward and realized in addition two things: that he no longer had a right hand and that he felt no pain.",The Electric Ant,Philip K. Dick
5081,"Long ago, in the days of the first King, for whom the Kingdom of Valdemar is named, it came to the King that he was growing old.",Winds Of Fate,Mercedes Lackey
5082,"Tika Waylan straightened her back with a sigh, flexing her shoulders to ease her cramped muscles.",Dragons Of Autumn Twilight,Margaret Weis And Tracy Hickman
5083,"Fifty years before the war to end all wars, a boy played hide-and-seek with his friends in a pear orchard bordered by a dark forest.",Echo,Pam Munoz Ryan
5084,The history of the town of Night Vale is long and complicated.,Welcome To Night Vale,Joseph Fink And Jeffrey Cranor
5085,"When Gregor Samsa woke one morning from troubled dreams, he found himself transormed right there in his bed into some sort of monstrous insect.",The Metamorphosis,Franz Kafka
5086,"The little cottage at the edge of the swamp wherein old Roggit had lived out his life was not, strictly speaking, a part of the village of Telven.",With A Single Spell,Lawrence Watt-Evans
5087,"The marsh stank, with a sharp, briny stench that seemed to fill Valder's head.",The Misenchanted Sword,Lawrence Watt-Evans
5088,"My brother had just been appointed Secretary of Nevada Territory - an office of such majesty that it concentrated in itself the duties and dignities of treasurer, comptroller, secretary of state, and acting governor in the governor’s absence.",Roughing It,Mark Twain
5089,"One of the few redeeming facets of instructors, I thought, is that occasionally they can be fooled.",Another Fine Myth,Robert Asprin
5090,"Not for the first time, an argument had broken out over breakfast at number four, Privet Drive.",Harry Potter And The Chamber Of Secrets,J.K. Rowling
5091,Matthew Mantrell leaned forward across the little table in the campus coffee shop and tapped the sheet of rune-covered parchment before him.,Her Majesty's Wizard,Christopher Stasheff
5093,"Of all the rash and midnight promises made in the name of love, none, Boone now knew, was more certain to be broken than ""I'll never leave you. "".",Cabal,Clive Barker
5094,"Once again Armpit was holding a shovel, only now he was getting paid for it, seven dollars and sixty-five cents an hour.",Small Steps,Louis Sachar
5095,"It was Kate who, long after she had grown up, completed the story of the borrowers.",The Borrowers Afield,Mary Norton
5096,"The morning fog had lifted, giving way to a clear day.",King Of The Wind,Marguerite Henry
5097,This journey took place in a part of Canada which lies in the northwestern part of the great sprawling province of Ontario.,The Incredible Journey,Sheila Burnford
5098,"They were all sitting around the dining room table - Dr. And Mrs. Topman and David, and David’s friend Chuck - talking about that extraordinary person whose name was Prewytt Brumblydge.",Mr Bass’S Planetoid,Eleanor Cameron
5100,"Snow had come in during the night, a fine dusting of it, thin as mist, traveling on the western wind.",The Ugly Little Boy,Asimov & Silverberg
5101,Andrew Harlan stepped into the kettle.,The End Of Eternity,Asimov
5102,The bedroom murmured to itself gently.,"The Stars, Like Dust",Asimov
5103,Stubbornly Elijah Baley fought panic.,The Naked Sun,Asimov
5104,"Elijah Baley found himself in the shade of the tree and muttered to himself, ""I knew it. I'm sweating. "".",The Robots Of Dawn,Asimov
5105,A nurse held the door open for them.,The Optimist's Daughter,Eudora Welty
5106,Gladia felt the lawn lounge to make sure it wasn't too damp and then sat down.,Robots And Empire,Asimov
5107,They say Los Angeles is like The Wizard of Oz.,John Dies At The End,David Wong
5108,"Two minutes before he disappeared forever from the face of the Earth he knew, Joseph Schwartz strolled along the pleasant streets of suburban Chicago quoting Browning to himself.",Pebble In The Sky,Asimov
5109,Once upon a time there was an old pig called Aunt Pettitoes.,The Tale Of Pigling Bland,Beatrox Potter
5110,There is too much stress everywhere on the art of winning and not nearly enough anywhere on the art of losing.,Bridge In The Menagerie,Victor Mollo
5111,Circumstances and friendship for Alan Kain and Theodore Dolliver have made me the chronicler of their strange adventures.,The Land Of No Shadow,Carl H Claudy
5112,Let’s see if you can get us down in one piece Frank!.,The Ghost At Skeleton Rock,Franklin W Dixon
5113,"All right, you blasted earthworms!.",Treachery In Outer Space,Carey Rockwell
5114,"Bloat, Mississippi lies thirty-one miles south of Memphis, Tennessee on State Improved Road Number 147 and is the second largest city in Titus County.",The Redneck Bride,John Fergus Ryan
5115,"There wasn't nothing in this part of Spokane, other than houses and more houses.",Sunstruck,Polenth Blake
5116,"It's finally happened, babies.",Chameleon Moon,Roanna Sylver
5117,The amethyst dagger called to me from inside the drowned man's chest.,The Seafarer's Kiss,Julia Ember
5118,I don't remember.,Sea Foam And Silence,Lynn E. O'Connacht
5119,A banging above her head woke Wren from her fitful sleep.,The Light Of The World,Ellen Simpson
5120,"In the Mirza household, board games were a favorite pastime.",The Gauntlet,Karuna Riazi
5121,"Well, boy, the ringmaster said. ""What can you do?"".",Pantomime,Laura Lam
5122,The sky looked red.,Fourth World,Lyssa Chiavari
5123,My first real memory was hearing my grandma scream bloody murder while being attacked by zombie hamsters.,Dead Air,Michelle Schusterman
5124,This is taking too long.,Dreadnought,April Daniels
5125,"Anakin Skywalker stood in a long, single-file line in an abandoned maintenance tunnel leading to the Wicko district garbage pit.",Rogue Planet,Greg Bear
5126,"It seems to me that mine is becoming a very important planet, Honorable Shu Mai.",The Approaching Storm,Alan Dean Foster
5127,"Blood geysered, looking almost black in the antisepsis field's glow.",Medstar 1: Battle Surgeons,Michael Reaves And Steve Perry
5128,"In the moment, there was little time for thought.",Medstar 2: Jedi Healer,Michael Reaves And Steve Perry
5129,The sun was setting on Coruscant.,Yoda: Dark Rendezvous,Sean Stewart
5130,Obi-Wan! Anakin Skywalker exclaimed when the hologrammic image of Jedi Knight Obi-Wan Kenobi appeared before him.,Jedi Trial,David Sherman And Dan Cragg
5131,The optimization of law enfrocement agencies activities is the most important direction of the development of modern Russian government.,Law Enforcement Agencies Of The Russian Federation,Dmitriev
5132,"Yes, of course, if it's fine tomorrow, said Mrs Ramsay.",To The Lighthouse,Virginia Woolf
5133,The knife. She'd lost the knife.,Archivist Wasp,Nicole Kornher-Stace
5134,I still dream of the island.,The City Of Woven Streets,Emmi Itäranta
5135,"There was a time, and it was many years ago now, when I had to stay in a hospital for almost nine weeks.",My Name Is Lucy Barton,Elizabeth Strout
5136,"She rode the air currents easily, her legs sleeked tight against her body, her wings spread wide.",City Of Dragons,Robin Hobb
5137,Anyway. I normally try to wake up before dusk.,101 Reykjavik,Hallgrímur Helgason
5138,The clock struck half past two.,Keep The Aspidistra Flying,George Orwell
5139,It was apparent to Miss Fawcett within one minute of her arrival at the Grange that her host was not in the best of tempers.,The Unfinished Clue,Georgette Heyer
5140,"I was going to say something, he said.",The Book Of Strange New Things,Michel Faber
5141,"Time grows short, my love.",The Stone Sky,N. K. Jemisin
5142,"He came one late, wet spring, and brought the wide world back to my doorstep.",Fool's Errand,Robin Hobb
5143,Why is it forbidden to write down specific knowledge of the magics?.,Royal Assassin,Robin Hobb
5144,The humans were agitated.,Dragon Haven,Robin Hobb
5145,She wondered what it would have been like to be perfect.,Ship Of Destiny,Robin Hobb
5146,Till she came it was all cold.,Kissing The Witch,Emma Donoghue
5147,He had many names.,Blood Song,Anthony Ryan
5148,"It began at the normal daily chapter in the Benedictine monastery of Saint Peter and Saint Pail, of Shrewsbury, on that thirtieth day of July, in the year of Our Lord 1139.",Saint Peter's Fair,Ellis Peters
5149,"Your noise reveals you, Todd Hewitt.",The Ask And The Answer,Patrick Ness
5150,"War, says Mayor Prentiss, his eyes glinting.",Monsters Of Men,Patrick Ness
5151,"I am lying in bed, next to my brother, Lupin.",How To Build A Girl,Caitlin Moran
5152,I woke to the sound of a mosquito whining in my left ear and my mother screeching in the right.,Fever 1793,Laurie Halse Anderson
5153,I'd known for ages how a baby was made.,Everybody Jam,Ali Lewis
5154,It was my birthday and a six-foot long table stretched across the grass.,Indestructible,Cristy C. Road
5155,"It was felling night, and the usual crowd had gathered at the Waystone Inn.",The Name Of The Wind,Patrick Rothfuss
5156,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.",Emma,Jane Austen
5157,Some years ago there was in the city of New York a society of magicians.,Jonathan Strange & Mr Norrell,Susanna Clarke
5158,To begin at the beginning.,Under Milk Wood,Dylan Thomas
5160,"They say that the prospect of being hanged in the morning concentrates a man's mind wonderfully; unfortunately, what the mind inevitably concentrates on is that it is in a body that, in the morning, is going to be hanged.",Going Postal,Terry Pratchett
5161,The house stood in a slight rise just on the edge of the village.,The Hitch-Hiker's Guide To The Galaxy,Douglas Adams
5162,"We were at prep, when the Head came in, followed by a new boy not in uniform and a school-servant carrying a big desk.",Madame Bovary,Gustave Flaubert
5163,"Sing to me, Muse, of that endlessly cunning man who was blown off course to the ends of the earth, in the years after he plundered Troy.",The Odyssey,Homer
5164,"‘The foreign gentleman seems to be in a terrible hurry, dear. ’.",The Blessing,Nancy Mitford
5165,An oblong puddle inset in the coarse asphalt; like a fancy footprint filled to the brim with quicksilver; like a spatulate hole through which you can see the nether sky.,Bend Sinister,Vladimir Nabokov
5166,"‘Well, prince, Genoa and Lucca are now nothing more than estates of the Bonaparte family. ’.",War And Peace,Leo Tolstoy
5167,"We hear that your Prince,' said Lady Jokaste, 'keeps his own harem.",Captive Prince,Cs Pacat
5168,Captain Andurs alerted Killashandra when the ship had emerged from hyper-space and Ballybran was fully visible.,The Crystal Singer,Anne Mccaffrey
5169,A guy’s life can basically be summed up by two things: how much Silly Putty he’s eaten and who made him eat it.,Alan Cole Is Not A Coward,Eric Bell
5170,The ship was quiet as she walked its cobwebbing corridors.,Blood Reaver,Aaron Dembski-Bowden
5171,"He came to the city at the end of summer, over the sea; leaning out over the boat's plain prow, scanning the horizon, nervously telling beads of scale and bone through his thin fingers.",Thunderer,Felix Gilman
